slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
allthatnode-tesnet-enterprise-recent-state,!provider:allthatnode-enterprise-recent-state,"[""[Contact](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
allthatnode-tesnet-free-full-archive,!provider:allthatnode-free-full-archive,"[""[Website](https://www.allthatnode.com/protocol/aptos.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
allthatnode-tesnet-free-recent-state,!provider:allthatnode-free-recent-state,"[""[Website](https://www.allthatnode.com/protocol/aptos.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
allthatnode-tesnet-pay-as-you-go-full-archive,!provider:allthatnode-pay-as-you-go-full-archive,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
allthatnode-tesnet-pay-as-you-go-recent-state,!provider:allthatnode-pay-as-you-go-recent-state,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
ankr-mainnet-enterprise-full-archive,!provider:ankr-enterprise-full-archive,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini/?uuid=a9a8ec5e-1b3d-4a78-ba96-d67ae527256a)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/aptos/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
ankr-mainnet-enterprise-recent-state,!provider:ankr-enterprise-recent-state,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini/?uuid=a9a8ec5e-1b3d-4a78-ba96-d67ae527256a)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/aptos/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
ankr-mainnet-free-full-archive,!provider:ankr-free-full-archive,"[""[Website](https://www.ankr.com/web3-api/chains-list/aptos/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/aptos/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
ankr-mainnet-free-recent-state,!provider:ankr-free-recent-state,"[""[Website](https://www.ankr.com/web3-api/chains-list/aptos/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/aptos/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-full-archive,!provider:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/web3-api/chains-list/aptos/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/aptos/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-recent-state,!provider:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/web3-api/chains-list/aptos/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/aptos/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
ankr-testnet-enterprise-full-archive,!provider:ankr-enterprise-full-archive,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini/?uuid=a9a8ec5e-1b3d-4a78-ba96-d67ae527256a)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/aptos/)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
ankr-testnet-enterprise-recent-state,!provider:ankr-enterprise-recent-state,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini/?uuid=a9a8ec5e-1b3d-4a78-ba96-d67ae527256a)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/aptos/)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
ankr-testnet-free-full-archive,!provider:ankr-free-full-archive,"[""[Website](https://www.ankr.com/web3-api/chains-list/aptos/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/aptos/)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
ankr-testnet-free-recent-state,!provider:ankr-free-recent-state,"[""[Website](https://www.ankr.com/web3-api/chains-list/aptos/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/aptos/)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
ankr-testnet-pay-as-you-go-full-archive,!provider:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/web3-api/chains-list/aptos/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/aptos/)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
ankr-testnet-pay-as-you-go-recent-state,!provider:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/web3-api/chains-list/aptos/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/aptos/)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
aptos-indexer-mainnet-free,Aptos,"[""[Docs](https://aptos.dev/build/indexer)""]",,Free,Pruned,RPC,Aptos REST,mainnet,$0,$0,NULL,NULL,NULL,,,,,FALSE,FALSE,,"[""Rate limits"",""Limited Customization""]","[""On-chain governance"",""Decentralized validator system"",""Compliance and security standards"",""Parallel execution and modular architecture""]","[""Real-time tracking"",""Historical analysis"",""Performance reporting""]","[""USA"",""Germany"",""Singapore""]","[""Custom Contract Indexing"",""Transaction Stream Service"",""Legacy Indexer Support""]",
aptos-indexer-testnet-free,Aptos,"[""[Docs](https://aptos.dev/build/indexer)""]",,Free,Pruned,RPC,Aptos REST,testnet,$0,$0,NULL,NULL,NULL,,,,,FALSE,FALSE,,"[""Rate limits"",""Limited Customization""]","[""On-chain governance"",""Decentralized validator system"",""Compliance and security standards"",""Parallel execution and modular architecture""]","[""Real-time tracking"",""Historical analysis"",""Performance reporting""]","[""USA"",""Germany"",""Singapore""]","[""Custom Contract Indexing"",""Transaction Stream Service"",""Legacy Indexer Support""]",
blockdaemon-mainnet-enterprise-full-archive,!provider:blockdaemon-enterprise-full-archive,"[""[Contact](https://www.blockdaemon.com/api/pricing#form-jump)"",""[Docs](https://docs.blockdaemon.com/docs/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-enterprise-recent-state,!provider:blockdaemon-enterprise-recent-state,"[""[Contact](https://www.blockdaemon.com/api/pricing#form-jump)"",""[Docs](https://docs.blockdaemon.com/docs/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-free-full-archive,!provider:blockdaemon-free-full-archive,"[""[Website](https://www.blockdaemon.com/protocols/aptos)"",""[Docs](https://docs.blockdaemon.com/docs/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-free-recent-state,!provider:blockdaemon-free-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/aptos)"",""[Docs](https://docs.blockdaemon.com/docs/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-pay-as-you-go-full-archive,!provider:blockdaemon-pay-as-you-go-full-archive,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/docs/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-pay-as-you-go-recent-state,!provider:blockdaemon-pay-as-you-go-recent-state,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/docs/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
blockdaemon-testnet-enterprise-recent-state,!provider:blockdaemon-enterprise-recent-state,"[""[Contact](https://www.blockdaemon.com/api/pricing#form-jump)"",""[Docs](https://docs.blockdaemon.com/docs/aptos)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
blockdaemon-testnet-free-recent-state,!provider:blockdaemon-free-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/aptos)"",""[Docs](https://docs.blockdaemon.com/docs/aptos)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
blockdaemon-testnet-pay-as-you-go-recent-state,!provider:blockdaemon-pay-as-you-go-recent-state,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/docs/aptos)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
blockpi-mainnet-enterprise-full-archive,!provider:blockpi-enterprise-full-archive,"[""[Contact](https://blockpi.io/pricing//)"",""[Docs](https://docs.blockpi.io/build/api-reference/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
blockpi-mainnet-enterprise-recent-state,!provider:blockpi-enterprise-recent-state,"[""[Contact](https://blockpi.io/pricing//)"",""[Docs](https://docs.blockpi.io/build/api-reference/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
blockpi-mainnet-free-full-archive,!provider:blockpi-free-full-archive,"[""[Website](https://blockpi.io/chain/aptos/)"",""[Docs](https://docs.blockpi.io/build/api-reference/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
blockpi-mainnet-free-recent-state,!provider:blockpi-free-recent-state,"[""[Website](https://blockpi.io/chain/aptos/)"",""[Docs](https://docs.blockpi.io/build/api-reference/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
blockpi-mainnet-pay-as-you-go-full-archive,!provider:blockpi-pay-as-you-go-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
blockpi-mainnet-pay-as-you-go-recent-state,!provider:blockpi-pay-as-you-go-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
chainbase-mainnet-enterprise-custom,!provider:chainbase-enterprise-custom,"[""[Contact](https://platform.chainbase.com/contact)"",""[Docs](https://docs.chainbase.com/platform/datasets/overview#non-evm)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
chainbase-mainnet-free-custom,!provider:chainbase-free-custom,"[""[Website](https://platform.chainbase.com/chainNetwork/Aptos)"",""[Docs](https://docs.chainbase.com/platform/datasets/overview#non-evm)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
chainbase-mainnet-pay-as-you-go-custom,!provider:chainbase-pay-as-you-go-custom,"[""[Buy](https://platform.chainbase.com/pricing)"",""[Docs](https://docs.chainbase.com/platform/datasets/overview#non-evm)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
chainbase-testnet-enterprise-custom,!provider:chainbase-enterprise-custom,"[""[Contact](https://platform.chainbase.com/contact)"",""[Docs](https://docs.chainbase.com/platform/datasets/overview#non-evm)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
chainbase-testnet-free-custom,!provider:chainbase-free-custom,"[""[Website](https://platform.chainbase.com/chainNetwork/Aptos)"",""[Docs](https://docs.chainbase.com/platform/datasets/overview#non-evm)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
chainbase-testnet-pay-as-you-go-custom,!provider:chainbase-pay-as-you-go-custom,"[""[Buy](https://platform.chainbase.com/pricing)"",""[Docs](https://docs.chainbase.com/platform/datasets/overview#non-evm)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
chainstack-mainnet-enterprise-full-archive,!provider:chainstack-enterprise-full-archive,"[""[Contact](https://console.chainstack.com/user/account#login)"",""[Docs](https://docs.chainstack.com/docs/aptos-methods)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
chainstack-mainnet-enterprise-indexer,!provider:chainstack-enterprise-indexer,"[""[Contact](https://console.chainstack.com/user/account#login)"",""[Docs](https://docs.chainstack.com/docs/nodes-clouds-regions-and-locations#aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
chainstack-mainnet-enterprise-recent-state,!provider:chainstack-enterprise-recent-state,"[""[Contact](https://console.chainstack.com/user/account#login)"",""[Docs](https://docs.chainstack.com/docs/aptos-methods)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
chainstack-mainnet-free-indexer,!provider:chainstack-free-indexer,"[""[Website](https://chainstack.com/protocols/aptos/)"",""[Docs](https://docs.chainstack.com/docs/nodes-clouds-regions-and-locations#aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
chainstack-mainnet-free-recent-state,!provider:chainstack-free-recent-state,"[""[Website](https://chainstack.com/build-better-with-aptos/)"",""[Docs](https://docs.chainstack.com/docs/aptos-methods)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
chainstack-mainnet-pay-as-you-go-full-archive,!provider:chainstack-pay-as-you-go-full-archive,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/aptos-methods)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
chainstack-mainnet-pay-as-you-go-indexer,!provider:chainstack-pay-as-you-go-indexer,"[""[Buy](https://chainstack.com/subgraphs/)"",""[Docs](https://docs.chainstack.com/docs/nodes-clouds-regions-and-locations#aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
chainstack-mainnet-pay-as-you-go-recent-state,!provider:chainstack-pay-as-you-go-recent-state,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/aptos-methods)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
chainstack-testnet-enterprise-full-archive,!provider:chainstack-enterprise-full-archive,"[""[Contact](https://console.chainstack.com/user/account#login)"",""[Docs](https://docs.chainstack.com/docs/aptos-methods)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
chainstack-testnet-enterprise-recent-state,!provider:chainstack-enterprise-recent-state,"[""[Contact](https://console.chainstack.com/user/account#login)"",""[Docs](https://docs.chainstack.com/docs/aptos-methods)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
chainstack-testnet-free-recent-state,!provider:chainstack-free-recent-state,"[""[Website](https://chainstack.com/build-better-with-aptos/)"",""[Docs](https://docs.chainstack.com/docs/aptos-methods)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
chainstack-testnet-pay-as-you-go-full-archive,!provider:chainstack-pay-as-you-go-full-archive,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/aptos-methods)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
chainstack-testnet-pay-as-you-go-recent-state,!provider:chainstack-pay-as-you-go-recent-state,"[""[Buy](https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/docs/aptos-methods)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
dwellir-mainnet-enterprise-full-archive,!provider:dwellir-enterprise-full-archive,"[""[Contact](https://www.dwellir.com/contact)"",""[Docs](https://www.dwellir.com/docs/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
dwellir-mainnet-enterprise-recent-state,!provider:dwellir-enterprise-recent-state,"[""[Contact](https://www.dwellir.com/contact)"",""[Docs](https://www.dwellir.com/docs/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
dwellir-mainnet-free-full-archive,!provider:dwellir-free-full-archive,"[""[Website](https://www.dwellir.com/networks/aptos)"",""[Docs](https://www.dwellir.com/docs/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
dwellir-mainnet-free-recent-state,!provider:dwellir-free-recent-state,"[""[Website](https://www.dwellir.com/networks/aptos)"",""[Docs](https://www.dwellir.com/docs/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
dwellir-mainnet-pay-as-you-go-full-archive,!provider:dwellir-pay-as-you-go-full-archive,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
dwellir-mainnet-pay-as-you-go-recent-state,!provider:dwellir-pay-as-you-go-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-full-archive,!provider:getblock-dedicated-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/api-reference/aptos-apt)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-recent-state,!provider:getblock-dedicated-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/api-reference/aptos-apt)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-full-archive,!provider:getblock-enterprise-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/api-reference/aptos-apt)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-mainnet-enterprise-recent-state,!provider:getblock-enterprise-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/api-reference/aptos-apt)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-mainnet-free-recent-state,!provider:getblock-free-recent-state,"[""[Website](https://getblock.io/nodes/apt/)"",""[Docs](https://docs.getblock.io/api-reference/aptos-apt)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-mainnet-pay-as-you-go-full-archive,!provider:getblock-pay-as-you-go-full-archive,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/api-reference/aptos-apt)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-mainnet-pay-as-you-go-recent-state,!provider:getblock-pay-as-you-go-recent-state,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/api-reference/aptos-apt)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
getblock-testnet-dedicated-full-archive,!provider:getblock-dedicated-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/api-reference/aptos-apt)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
getblock-testnet-dedicated-recent-state,!provider:getblock-dedicated-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/api-reference/aptos-apt)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
getblock-testnet-enterprise-full-archive,!provider:getblock-enterprise-full-archive,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/api-reference/aptos-apt)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
getblock-testnet-enterprise-recent-state,!provider:getblock-enterprise-recent-state,"[""[Contact](https://account.getblock.io/sign-up)"",""[Docs](https://docs.getblock.io/api-reference/aptos-apt)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
getblock-testnet-free-recent-state,!provider:getblock-free-recent-state,"[""[Website](https://getblock.io/nodes/apt/)"",""[Docs](https://docs.getblock.io/api-reference/aptos-apt)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
getblock-testnet-pay-as-you-go-full-archive,!provider:getblock-pay-as-you-go-full-archive,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/api-reference/aptos-apt)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
getblock-testnet-pay-as-you-go-recent-state,!provider:getblock-pay-as-you-go-recent-state,"[""[Buy](https://getblock.io/pricing/)"",""[Docs](https://docs.getblock.io/api-reference/aptos-apt)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-enterprise-indexer,!provider:indexing-co-enterprise-indexer,"[""[Docs](https://docs.indexing.co/networks/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-free-indexer,!provider:indexing-co-free-indexer,"[""[Docs](https://docs.indexing.co/networks/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-pay-as-you-go-indexer,!provider:indexing-co-pay-as-you-go-indexer,"[""[Docs](https://docs.indexing.co/networks/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
nownodes-mainnet-dedicated-recent-state,!provider:nownodes-dedicated-recent-state,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.gitbook.io/apt-aptos/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
nownodes-mainnet-enterprise-recent-state,!provider:nownodes-enterprise-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.gitbook.io/apt-aptos/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
nownodes-mainnet-free-recent-state,!provider:nownodes-free-recent-state,"[""[Website](https://nownodes.io/nodes/aptos-apt)"",""[Docs](https://nownodes.gitbook.io/apt-aptos/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
nownodes-mainnet-pro-recent-state,!provider:nownodes-pro-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.gitbook.io/apt-aptos/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
